description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
---Admin Recipes---																																																																																																								0
Test 1				100					2	weap	tsc						useitem				ethereal-fake			-1	-1																																																																															0
Test 1				100					2	armo	tsc						useitem				ethereal-fake		-100																																																																																	0
Test 1				100					1	misc							useitem	99			oskill		693	1	1																																																																															0
Test 2				100					2	tsc,qty=2							Crown of Cold	99																												Blazing Band	99																												Lightning Locket	99																												0
Test 3				100					1	tsc							cm1,mag	99			aura		384	20	20																					r02	99																												r36	99																												0
Test 3				100					1	isc							L51	99																												L39	99																												L12	99																												0
Cow Portal (Temp)	1			0	28				1	leg							Cow Portal																																																																																							0
Hidden Easter Egg				100					7	Ev1	Ev2	Ev3	Ev4	Ev5	Ev6	Ev7	Ev8,nor	99																																																																																						0
																																																																																																								0
---Protect Uniques---																																																																																																								0
Protect Quest Unique 1	1			100					2	Z01	Amulet of the Viper						useitem																													Amulet of the Viper	99																																																									0
Protect Quest Unique 2	1			100					2	Z01	Staff of Kings						useitem																													Staff of Kings	99																																																									0
Protect Quest Unique 3	1			100					3	Z01	Staff of Kings	Amulet of the Viper					useitem																													Staff of Kings	99																												Amulet of the Viper	99																												0
Protect Quest Unique 4	1			100					3	Z01	Amulet of the Viper	Staff of Kings					useitem																													Staff of Kings	99																												Amulet of the Viper	99																												0
