ItemType	Code	*ID	*CTC	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Any		0	id0 lvl0			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
None	none	1	id0 lvl1			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Shield	shie	2	id0 lvl2	shld		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	4	0	3			0							armo	0
Armor	tors	3	id0 lvl3	armo		1	1	tors	tors			0	0	0	0		1	0	0	3	25	4	40	4	0	3			0							armo	0
Gold	gold	4	id0 lvl4	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
Bow Quiver	bowq	5	id0 lvl5	misl	seco	0	1	rarm	larm		bow	0	1	0	1		1	0	0	0	25	0	40	0	0	3			0							misc	0
Crossbow Quiver	xboq	6	id0 lvl6	misl	seco	0	1	rarm	larm			0	1	0	1		1	0	0	0	25	0	40	0	0	3			0							misc	0
Player Body Part	play	7	id0 lvl7	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Herb	herb	8	id0 lvl8	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Potion	poti	9	id0 lvl9	misc		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Ring	ring	10	id0 lvl10	misc	merc	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0
Elixir	elix	11	id0 lvl11	misc		0	0					0	0	0	0			0	1	0	25	0	40	0	0	3			0							misc	0
Amulet	amul	12	id0 lvl12	misc	merc	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			3	invamu1	invamu2	invamu3				misc	0
Charm	char	13		misc	poti	0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch1	invch4	invch7				misc	0
Not Used		14	id0 lvl14			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Boots	boot	15	id0 lvl15	armo	merc	1	1	feet	feet			0	0	0	0		1	0	0	2	25	3	40	3	0	3			0							armo	0
Gloves	glov	16	id0 lvl16	armo	merc	1	1	glov	glov			0	0	0	0		1	0	0	2	25	3	40	3	0	3			0							armo	0
Not Used		17	id0 lvl17			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Book	book	18	id0 lvl18	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Belt	belt	19	id0 lvl19	armo	merc	1	1	belt	belt			0	0	0	0		1	0	0	2	25	2	40	2	0	3			0							armo	0
Gem	gem	20		sock	poti	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Torch	torc	21	id0 lvl21	misc		0	1					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Scroll	scro	22	id0 lvl22	misc		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Not Used		23	id0 lvl23			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Scepter	scep	24	id0 lvl24	rod		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1			0							weap	0
Wand	wand	25	id0 lvl25	rod		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	2	40	2	0	1		nec	0							weap	0
Staff	staf	26	id0 lvl26	rod		1	1	rarm	larm			0	0	0	0		1	0	0	5	25	6	40	6	0	1	sor		0							weap	0
Bow and Crossbow	bow	27	id0 lvl27	miss		1	1	rarm	larm	bowq		0	0	0	0		1	0	0	4	25	4	40	6	1	3			0							weap	0
Axe	axe	28	id0 lvl28	mele	wpn5	1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3			0							weap	0
Club	club	29	id0 lvl29	blun		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
