npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	512	1088	128	4	1024	922	1024									666	666	666
charsi	512	960	128	4	1024	922	1024									666	666	666
akara	512	1024	128	4	1024	922	1024									666	666	666
lysander	512	1024	128	9	1024	922	1024									666	666	666
drognan	512	1024	128	9	1024	922	1024									666	666	666
elzix	512	1024	128	9	1024	980	1024									666	666	666
fara	512	1024	128	9	1024	922	1024									666	666	666
hratli	512	1024	128	17	1024	922	1024									666	666	666
alkor	512	1024	128	17	1024	980	1024									666	666	666
ormus	512	1024	128	17	1024	922	1024									666	666	666
asheara	512	1024	128	17	1024	922	1024									666	666	666
jamella	512	1024	128													666	666	666
halbu	512	1024	128													666	666	666
malah	512	2048	128	35	1024	512	1024									666	666	666
drehya	512	2048	128	35	1024	490	1024									666	666	666
larzuk	512	2048	128	35	1024	512	1024									666	666	666
nihlathak	512	2048	128	35	1024	490	1024									666	666	666
