mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	armor	weapon	shield	scepter	wand	staff	bow	boots	gloves	belt
ethereal		1	1	indestruct		1	1	1	1	1	1	1	1	1	1	1	1
swing		8	15	cast		8	15		1		1			1		1	
all-stats		5	15					1		1		1			1	1	1
res-all		5	10					1		1		1			1		1
res-all-max		3	5							1			1				
pierce-all-grouped		5	10	pierce-immunity-all-nomag-group		5	10		1		1	1	1	1			
dualsteal		3	5	addxp		5	10	1								1	1
crush		5	10	att%		25	25		1		1		1	1			
cdr		5	15	buff-length		10	20		1		1	1	1				
ease		-15	-15	move		8	15	1	1	1	1		1	1	1		
